Datum;Wochentag;Name;Art;Details
01.01.2020;Mittwoch;Neujahrstag;Nationaler Feiertag;
06.01.2020;Montag;Heilige Drei Könige;Fest- oder Gedenktag, Christlich;NDS*, SN, TH
06.01.2020;Montag;Heilige Drei Könige;Regionaler Feiertag;BW, BY, ST
22.01.2020;Mittwoch;Deutsch-Französischer Tag;Fest- oder Gedenktag;
27.01.2020;Montag;Tag des Gedenkens an die Opfer des Nationalsozialismus;Fest- oder Gedenktag;
14.02.2020;Freitag;Valentinstag;Fest- oder Gedenktag;
16.02.2020;Sonntag;Alevitischer Fastentag;Fest- oder Gedenktag;Bremen, Hamburg
24.02.2020;Montag;Rosenmontag;Fest- oder Gedenktag;
25.02.2020;Dienstag;Faschingsdienstag;Fest- oder Gedenktag;
26.02.2020;Mittwoch;Aschermittwoch;Stiller Tag;
08.03.2020;Sonntag;Internationaler Frauentag;Fest- oder Gedenktag;Alle außer B
08.03.2020;Sonntag;Internationaler Frauentag;Regionaler Feiertag;Berlin
17.03.2020;Dienstag;St. Patrick's Day;Fest- oder Gedenktag, Christlich;
18.03.2020;Mittwoch;Jahrestag der Märzrevolution;Fest- oder Gedenktag;Berlin
20.03.2020;Freitag;März-Tagundnachtgleiche;Jahreszeit (kein Feiertag);
21.03.2020;Samstag;Alevitisches Neujahr;Fest- oder Gedenktag;Bremen, Hamburg
26.03.2020;Donnerstag;Girls' Day / Boys' Day;Fest- oder Gedenktag;
29.03.2020;Sonntag;Beginn der Sommerzeit;Zeitumstellung;
05.04.2020;Sonntag;Palmsonntag;Fest- oder Gedenktag, Christlich;
09.04.2020;Donnerstag;Gründonnerstag;Stiller Tag;BY, HE, NRW, RLP, SL
09.04.2020;Donnerstag;Gründonnerstag;Fest- oder Gedenktag, Christlich;Alle außer BY, HE, NRW, RLP, SL
09.04.2020;Donnerstag;Pessach Tag 1;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
10.04.2020;Freitag;Karfreitag;Nationaler Feiertag, Christlich;
10.04.2020;Freitag;Pessach Tag 2;Fest- oder Gedenktag, Jüdisch;BY, HB, SL
11.04.2020;Samstag;Karsamstag;Stiller Tag;BY, HE, NDS, RLP, SL
12.04.2020;Sonntag;Ostern;Christlich, Regionaler Feiertag;Brandenburg
