Datum,Feiertag
01.01.2013,true
29.03.2013,true
01.04.2013,true
01.05.2013,true
09.05.2013,true
20.05.2013,true
30.05.2013,true
03.10.2013,true
25.12.2013,true
26.12.2013,true
01.01.2014,true
18.04.2014,true
21.04.2014,true
01.05.2014,true
29.05.2014,true
09.06.2014,true
19.06.2014,true
03.10.2014,true
25.12.2014,true
26.12.2014,true
01.01.2015,true
03.04.2015,true
06.04.2015,true
01.05.2015,true
14.05.2015,true
25.05.2015,true
04.06.2015,true
03.10.2015,true
25.12.2015,true
26.12.2015,true
01.01.2016,true
25.03.2016,true
28.03.2016,true
01.05.2016,true
05.05.2016,true
16.05.2016,true
26.05.2016,true
03.10.2016,true
25.12.2016,true
26.12.2016,true
01.01.2017,true
14.04.2017,true
17.04.2017,true
01.05.2017,true
25.05.2017,true
05.06.2017,true
15.06.2017,true
03.10.2017,true
25.12.2017,true
26.12.2017,true
01.01.2018,true
30.03.2018,true
02.04.2018,true
01.05.2018,true
10.05.2018,true
21.05.2018,true
31.05.2018,true
03.10.2018,true
25.12.2018,true
26.12.2018,true
01.01.2019,true
19.04.2019,true
22.04.2019,true
01.05.2019,true
30.05.2019,true
10.06.2019,true
20.06.2019,true
03.10.2019,true
