"Datum","Warengruppe","Umsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","weekday"
2013-07-01,"Brot",148.828353112183,FALSE,6,17.8375,15,20,"Monday"
2013-07-02,"Brot",159.79375714468,FALSE,3,17.3125,10,NA,"Tuesday"
2013-07-03,"Brot",111.885593514353,FALSE,7,21.075,6,61,"Wednesday"
2013-07-04,"Brot",168.864940979931,FALSE,7,18.85,7,20,"Thursday"
2013-07-05,"Brot",171.280754117955,FALSE,5,19.975,12,NA,"Friday"
2013-07-06,"Brot",174.552359998476,FALSE,0,18.9625,8,NA,"Saturday"
2013-07-07,"Brot",92.6377553788373,FALSE,0,21.375,9,NA,"Sunday"
2013-07-08,"Brot",135.500244042392,FALSE,0,22.725,10,5,"Monday"
2013-07-09,"Brot",136.048382778344,FALSE,0,23.275,8,NA,"Tuesday"
2013-07-10,"Brot",135.132314289581,FALSE,2,19.6875,13,5,"Wednesday"
2013-07-11,"Brot",138.549392636714,FALSE,0,21.375,12,5,"Thursday"
2013-07-12,"Brot",101.447511461298,FALSE,0,20.2875,7,NA,"Friday"
2013-07-13,"Brot",141.233309883732,FALSE,1,20.125,12,NA,"Saturday"
2013-07-14,"Brot",112.524365708762,FALSE,5,17.6875,15,5,"Sunday"
2013-07-15,"Brot",161.264677322182,FALSE,6,18.7375,12,NA,"Monday"
2013-07-16,"Brot",116.821358174215,FALSE,1,21.1875,10,NA,"Tuesday"
2013-07-17,"Brot",150.572919592838,FALSE,5,22.5125,8,NA,"Wednesday"
2013-07-18,"Brot",101.90072129658,FALSE,1,23.25,11,5,"Thursday"
2013-07-19,"Brot",161.63511518654,FALSE,3,22.475,16,5,"Friday"
2013-07-20,"Brot",134.328076682024,FALSE,0,23.1875,8,NA,"Saturday"
2013-07-21,"Brot",66.2887578161955,FALSE,0,26.375,8,NA,"Sunday"
2013-07-22,"Brot",131.223948997842,FALSE,0,26.1,9,NA,"Monday"
2013-07-23,"Brot",110.315246796665,FALSE,0,24.95,12,NA,"Tuesday"
2013-07-24,"Brot",141.891908195545,FALSE,3,24.075,11,NA,"Wednesday"
2013-07-25,"Brot",167.701216640907,FALSE,2,23.0875,9,NA,"Thursday"
2013-07-26,"Brot",147.272084366206,FALSE,3,27.2625,6,NA,"Friday"
2013-07-27,"Brot",161.403357795112,FALSE,1,26.1625,10,NA,"Saturday"
2013-07-28,"Brot",86.0791432446654,FALSE,4,24.8875,13,61,"Sunday"
2013-07-29,"Brot",183.564164400591,FALSE,1,22.7875,10,NA,"Monday"
2013-07-30,"Brot",132.111640117897,FALSE,5,21.075,13,21,"Tuesday"
2013-07-31,"Brot",144.745431773143,FALSE,5,20.275,16,65,"Wednesday"
2013-08-01,"Brot",157.854023011106,FALSE,6,23.4,7,21,"Thursday"
2013-08-02,"Brot",117.359342094889,FALSE,0,31.4375,7,NA,"Friday"
2013-08-03,"Brot",186.027178770079,FALSE,4,23.3625,11,63,"Saturday"
2013-08-04,"Brot",104.708216687715,FALSE,3,23.05,8,NA,"Sunday"
2013-08-05,"Brot",146.775309890073,FALSE,0,25.8,10,NA,"Monday"
2013-08-06,"Brot",131.956277381283,FALSE,5,22.225,13,NA,"Tuesday"
2013-08-07,"Brot",160.593417296116,FALSE,4,19.2125,8,NA,"Wednesday"
2013-08-08,"Brot",153.099424561652,FALSE,7,16.975,12,20,"Thursday"
