Datum;Warengruppe;Umsatz;KielerWoche;Bewoelkung;Temperatur;Windgeschwindigkeit;Wettercode;Wochentag;FerienSH
2017-09-10;Croissant;205.693152515455;FALSE;2;17.65;11;0;Sunday;FALSE
2017-09-10;Konditorei;123.058047573276;FALSE;2;17.65;11;0;Sunday;FALSE
2017-09-10;Kuchen;325.047767160549;FALSE;2;17.65;11;0;Sunday;FALSE
2017-09-11;Brot;148.173580794396;FALSE;3;17.8625;11;21;Monday;FALSE
2017-09-11;Brötchen;358.793512389578;FALSE;3;17.8625;11;21;Monday;FALSE
2017-09-11;Croissant;104.204339622872;FALSE;3;17.8625;11;21;Monday;FALSE
2017-09-11;Konditorei;87.0859633017978;FALSE;3;17.8625;11;21;Monday;FALSE
2017-09-11;Kuchen;280.517630391338;FALSE;3;17.8625;11;21;Monday;FALSE
2017-09-12;Brot;80.7563950180735;FALSE;5;16.1;12;21;Tuesday;FALSE
2017-09-12;Brötchen;347.406580605801;FALSE;5;16.1;12;21;Tuesday;FALSE
2017-09-12;Croissant;117.496320653782;FALSE;5;16.1;12;21;Tuesday;FALSE
2017-09-12;Konditorei;103.90785263473;FALSE;5;16.1;12;21;Tuesday;FALSE
2017-09-12;Kuchen;264.766259125866;FALSE;5;16.1;12;21;Tuesday;FALSE
2017-09-13;Brot;103.419606846606;FALSE;7;13.3375;20;63;Wednesday;FALSE
2017-09-13;Brötchen;337.409370036303;FALSE;7;13.3375;20;63;Wednesday;FALSE
2017-09-13;Croissant;114.818715199552;FALSE;7;13.3375;20;63;Wednesday;FALSE
2017-09-13;Konditorei;99.1512886820295;FALSE;7;13.3375;20;63;Wednesday;FALSE
2017-09-13;Kuchen;257.656908373648;FALSE;7;13.3375;20;63;Wednesday;FALSE
2017-09-14;Brot;124.528915578366;FALSE;7;13.2375;13;61;Thursday;FALSE
2017-09-14;Brötchen;340.662703674034;FALSE;7;13.2375;13;61;Thursday;FALSE
2017-09-14;Croissant;120.781746843667;FALSE;7;13.2375;13;61;Thursday;FALSE
2017-09-14;Konditorei;96.0196430549054;FALSE;7;13.2375;13;61;Thursday;FALSE
2017-09-14;Kuchen;282.042321987466;FALSE;7;13.2375;13;61;Thursday;FALSE
2017-09-15;Brot;177.095117317774;FALSE;6;14.425;11;21;Friday;FALSE
2017-09-15;Brötchen;432.422620446303;FALSE;6;14.425;11;21;Friday;FALSE
2017-09-15;Croissant;129.764290585566;FALSE;6;14.425;11;21;Friday;FALSE
2017-09-15;Konditorei;83.1030772087039;FALSE;6;14.425;11;21;Friday;FALSE
2017-09-15;Kuchen;281.018887596673;FALSE;6;14.425;11;21;Friday;FALSE
