Datum,Feiertag
2012-01-01,TRUE
2012-01-06,TRUE
2012-04-06,TRUE
2012-04-09,TRUE
2012-05-01,TRUE
2012-05-17,TRUE
2012-05-28,TRUE
2012-06-04,TRUE
2012-06-07,TRUE
2012-08-15,TRUE
2012-10-03,TRUE
2012-10-31,TRUE
2012-12-25,TRUE
2012-12-26,TRUE
2013-01-01,TRUE
2013-01-06,TRUE
2013-03-29,TRUE
2013-04-01,TRUE
2013-05-01,TRUE
2013-05-09,TRUE
2013-05-20,TRUE
2013-05-30,TRUE
2013-06-07,TRUE
2013-08-15,TRUE
2013-10-03,TRUE
2013-10-31,TRUE
2013-12-25,TRUE
2013-12-26,TRUE
2014-01-01,TRUE
2014-01-06,TRUE
2014-04-18,TRUE
2014-04-21,TRUE
2014-05-01,TRUE
2014-05-29,TRUE
2014-06-08,TRUE
2014-08-15,TRUE
2014-10-03,TRUE
2014-10-31,TRUE
2014-12-25,TRUE
2014-12-26,TRUE
2015-01-01,TRUE
2015-01-06,TRUE
2015-04-03,TRUE
2015-04-06,TRUE
2015-05-01,TRUE
2015-05-14,TRUE
2015-05-24,TRUE
2015-06-04,TRUE
2015-08-15,TRUE
2015-10-03,TRUE
2015-10-31,TRUE
2015-12-25,TRUE
2015-12-26,TRUE
2016-01-01,TRUE
2016-01-06,TRUE
2016-03-25,TRUE
2016-03-28,TRUE
2016-05-01,TRUE
2016-05-05,TRUE
2016-05-15,TRUE
2016-05-26,TRUE
2016-08-15,TRUE
2016-10-03,TRUE
2016-10-31,TRUE
2016-12-25,TRUE
2016-12-26,TRUE
2017-01-01,TRUE
2017-01-06,TRUE
2017-04-14,TRUE
2017-04-17,TRUE
2017-05-01,TRUE
2017-05-25,TRUE
2017-06-04,TRUE
2017-08-15,TRUE
2017-10-03,TRUE
2017-10-31,TRUE
2017-12-25,TRUE
2017-12-26,TRUE
2018-01-01,TRUE
2018-01-06,TRUE
2018-03-30,TRUE
2018-04-02,TRUE
2018-05-01,TRUE
2018-05-10,TRUE
2018-05-20,TRUE
2018-05-31,TRUE
2018-08-15,TRUE
2018-10-03,TRUE
2018-12-25,TRUE
2018-12-26,TRUE
2019-01-01,TRUE
2019-04-19,TRUE
2019-04-22,TRUE
2019-05-01,TRUE
2019-05-30,TRUE
2019-06-10,TRUE
2019-06-20,TRUE
2019-10-03,TRUE
