Start, Ende
2012-01-01, 2012-01-06
2012-30-03, 2012-04-13
2012-05-18, 2012-05-18
2012-06-05, 2012-08-04
2012-10-04, 2012-10-19
2012-12-24, 2013-01-05
2013-03-25, 2013-04-09
2013-05-10, 2013-05-10
2013-06-24, 2013-08-03
2013-10-04, 2013-10-18
2013-12-23, 2014-01-06
2014-04-06, 2014-05-02
2014-05-30, 2014-05-30
2014-07-14, 2014-08-23
2014-10-13, 2014-10-25
2014-12-22, 2015-01-06
2015-04-01, 2015-04-17
2015-05-15, 2015-05-15
2015-07-20, 2015-08-29
2015-10-19, 2015-10-31
2015-12-21, 2016-01-06
2016-03-04, 2016-04-09
2016-05-06, 2016-05-06
2016-07-25, 2016-09-03
2016-10-17, 2016-10-29
2016-12-23, 2017-01-06
2017-04-07, 2017-04-21
2017-05-26, 2017-05-26
2017-07-24, 2017-09-02
2017-10-16, 2017-10-27
2017-12-21, 2018-06-01
2018-03-29, 2018-04-13
2018-05-11, 2018-05-11
2018-07-09, 2018-08-18
