Datum,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wochentag,FerienSH,Brot,Brötchen,Kuchen,Croissant,Konditorei,Saisonbrot
2013-07-02,FALSE,3,17.3125,10,NA,Tuesday,TRUE,159.79375714468,546.780787392297,383.628681612577,265.261253994438,74.5439171827412,
2013-07-03,FALSE,7,21.075,6,61,Wednesday,TRUE,111.885593514353,427.343258749983,305.523072325318,210.260241465493,69.2627280649987,
2013-07-04,FALSE,7,18.85,7,20,Thursday,TRUE,168.864940979931,454.859641347987,308.408167942149,190.686641378586,61.490175369225,
2013-07-05,FALSE,5,19.975,12,NA,Friday,TRUE,171.280754117955,492.818804066088,355.518770367742,181.644870215041,86.7598614451924,
2013-07-06,FALSE,0,18.9625,8,NA,Saturday,TRUE,174.552359998476,631.906068038484,361.866932797941,291.557959835153,80.6465768881107,
2013-07-07,FALSE,0,21.375,9,NA,Sunday,TRUE,92.6377553788373,695.25572963054,370.20960108863,279.665938833443,94.6039024817053,
2013-07-08,FALSE,0,22.725,10,5,Monday,TRUE,135.500244042392,538.529249911711,285.233382496522,195.158794309303,49.5000238633042,
2013-07-09,FALSE,0,23.275,8,NA,Tuesday,TRUE,136.048382778344,585.957264698849,342.089345776475,245.808338509722,75.2089975834558,
2013-07-10,FALSE,2,19.6875,13,5,Wednesday,TRUE,135.132314289581,567.365764527953,343.353066508123,265.109142544045,73.8056511129258,
2013-07-11,FALSE,0,21.375,12,5,Thursday,TRUE,138.549392636714,569.109374584873,315.911756962233,234.65807920749,68.6330279122302,
2013-07-12,FALSE,0,20.2875,7,NA,Friday,TRUE,101.447511461298,600.267914678783,362.802489634211,290.199097765019,,
2013-07-13,FALSE,1,20.125,12,NA,Saturday,TRUE,141.233309883732,747.140776382576,359.166188843392,340.046632736531,74.2744737887665,
2013-07-14,FALSE,5,17.6875,15,5,Sunday,TRUE,112.524365708762,777.048841669282,461.082124524619,320.626816189556,115.271617188867,
2013-07-15,FALSE,6,18.7375,12,NA,Monday,TRUE,161.264677322182,596.995099998235,380.68369651152,243.526401440661,99.4935305857439,
2013-07-16,FALSE,1,21.1875,10,NA,Tuesday,TRUE,116.821358174215,558.797138274201,320.43533597922,287.415464972525,91.7796976081033,
2013-07-17,FALSE,5,22.5125,8,NA,Wednesday,TRUE,150.572919592838,628.325718978073,396.99424714406,301.777437970497,,
2013-07-18,FALSE,1,23.25,11,5,Thursday,TRUE,101.90072129658,647.822253705942,300.398790118057,250.426586853024,89.2058404577425,
2013-07-19,FALSE,3,22.475,16,5,Friday,TRUE,161.63511518654,646.788959790823,369.400389277533,287.18828629416,62.0636098816993,
2013-07-20,FALSE,0,23.1875,8,NA,Saturday,TRUE,134.328076682024,843.051280035386,346.154004294146,394.765674710477,69.9369965472912,
2013-07-21,FALSE,0,26.375,8,NA,Sunday,TRUE,66.2887578161955,815.942264195776,287.443788531561,346.658236387984,82.6826868784511,
2013-07-22,FALSE,0,26.1,9,NA,Monday,TRUE,131.223948997842,647.682748973215,356.484067206325,297.712614415266,99.3353908053911,
2013-07-23,FALSE,0,24.95,12,NA,Tuesday,TRUE,110.315246796665,691.043662205889,316.29681714496,323.301431663341,70.5290024618065,
2013-07-24,FALSE,3,24.075,11,NA,Wednesday,TRUE,141.891908195545,698.340862077002,327.339400651794,328.023102507764,83.5816326885927,
2013-07-25,FALSE,2,23.0875,9,NA,Thursday,TRUE,167.701216640907,681.250768331783,303.192537586556,280.809721012322,65.8902979709521,
2013-07-26,FALSE,3,27.2625,6,NA,Friday,TRUE,147.272084366206,718.016648132155,331.522091778847,352.293883343641,53.1984562311259,
2013-07-27,FALSE,1,26.1625,10,NA,Saturday,TRUE,161.403357795112,855.619095347599,358.892714466409,382.965879977945,,
2013-07-28,FALSE,4,24.8875,13,61,Sunday,TRUE,86.0791432446654,871.802546455837,437.824795495097,360.096105223697,,
2013-07-29,FALSE,1,22.7875,10,NA,Monday,TRUE,183.564164400591,672.50214523923,368.951029057165,356.033434735079,,
2013-07-30,FALSE,5,21.075,13,21,Tuesday,TRUE,132.111640117897,690.117757120039,424.086156965952,354.531775116541,,
2013-07-31,FALSE,5,20.275,16,65,Wednesday,TRUE,144.745431773143,667.842224335937,426.985804024935,321.075920611583,,
2013-08-01,FALSE,6,23.4,7,21,Thursday,TRUE,157.854023011106,667.213719343287,322.294307178179,304.830310037868,60.5614573229725,
2013-08-02,FALSE,0,31.4375,7,NA,Friday,TRUE,117.359342094889,689.695100983376,282.371517214865,379.526700654912,68.1222020855149,
2013-08-03,FALSE,4,23.3625,11,63,Saturday,TRUE,186.027178770079,930.801703150498,399.283316370115,454.705780795563,51.2749992906831,
2013-08-04,FALSE,3,23.05,8,NA,Sunday,FALSE,104.708216687715,862.752429028985,461.704848992483,382.85648750844,67.1568816245378,
2013-08-05,FALSE,0,25.8,10,NA,Monday,FALSE,146.775309890073,520.947179812455,354.247243408463,331.615355447409,,
2013-08-06,FALSE,5,22.225,13,NA,Tuesday,FALSE,131.956277381283,498.920948322354,441.521507016938,344.104806694018,69.705360420462,
2013-08-07,FALSE,4,19.2125,8,NA,Wednesday,FALSE,160.593417296116,519.197204695832,423.850318191533,341.483544581514,83.1094116270633,
2013-08-08,FALSE,7,16.975,12,20,Thursday,FALSE,153.099424561652,486.25509543792,464.87537153539,298.005519792868,96.7720958104522,
2013-08-09,FALSE,4,20.3375,10,21,Friday,FALSE,125.620344387906,539.975155104136,450.085987485785,328.22992428157,81.4817797241125,
2013-08-10,FALSE,7,19.3625,12,61,Saturday,FALSE,185.177162656408,614.511830668785,450.993337129113,351.617029216224,59.9811123644503,
2013-08-11,FALSE,7,16.3875,9,61,Sunday,FALSE,73.2088330039992,666.9113081568,583.491717818235,341.033029953849,60.7087857619079,
2013-08-12,FALSE,7,16.45,11,63,Monday,FALSE,154.504729536697,510.019126480035,356.026341718574,253.6233554703,97.7406166426712,
2013-08-13,FALSE,3,16.4,16,95,Tuesday,FALSE,134.064451548102,535.403212817658,344.643463915453,271.591283834177,113.863641914766,
2013-08-14,FALSE,4,18.2625,18,61,Wednesday,FALSE,156.972510536869,520.123590697437,441.253111778104,309.116290264651,105.567865241887,
2013-08-15,FALSE,3,19.8,8,NA,Thursday,FALSE,164.763795399756,538.231262832354,416.610037755781,266.575408936199,59.7561020638342,
2013-08-16,FALSE,4,23.575,11,0,Friday,FALSE,147.79799759804,552.153714601025,344.468629393561,241.76897512804,75.2564619591539,
2013-08-17,FALSE,6,20.55,7,0,Saturday,FALSE,221.630418006017,583.657434231324,519.834929394153,280.170045804428,96.5293135082104,
2013-08-18,FALSE,7,18.5875,10,63,Sunday,FALSE,92.489778506026,669.186211470815,479.499541699925,282.599786111443,150.122396942697,
2013-08-19,FALSE,5,18.4875,8,NA,Monday,FALSE,145.87913275728,499.912512856933,374.247117082749,249.391160860983,107.407999333161,
2013-08-20,FALSE,7,17.775,8,61,Tuesday,FALSE,111.842396126739,478.730297151576,340.090359959321,257.620799680939,64.5022565329893,
2013-08-21,FALSE,5,20.125,8,NA,Wednesday,FALSE,125.336522713024,440.815636456397,352.695324198643,271.133442105753,65.9210119267558,
2013-08-22,FALSE,4,21.6625,8,NA,Thursday,FALSE,132.916428220302,497.731338188322,343.348933556103,229.323435589195,111.144301377526,
2013-08-23,FALSE,1,22.0375,14,NA,Friday,FALSE,162.958958703106,503.672089526472,375.317567662845,260.926195756112,94.2272902889274,
2013-08-24,FALSE,0,20.85,16,5,Saturday,FALSE,201.543109556297,707.94429725517,536.196771958902,282.401869590288,124.737464409769,
2013-08-25,FALSE,0,21.3875,16,5,Sunday,FALSE,83.0226725739551,726.257649523775,495.194334936839,360.817001197227,141.066888354584,
2013-08-26,FALSE,0,20.125,15,5,Monday,FALSE,165.829031676714,451.536740815421,368.72576849632,244.936370498996,104.448858869003,
2013-08-27,FALSE,1,21.0875,12,NA,Tuesday,FALSE,118.473650434102,442.318352086176,305.77200439049,251.053043195831,89.3398068106772,
2013-08-28,FALSE,0,21.3,7,NA,Wednesday,FALSE,108.876991442649,418.297941202801,349.390973099531,225.878194718714,87.5160458910728,
2013-08-29,FALSE,3,20.2125,11,NA,Thursday,FALSE,178.178023803315,386.390267686346,396.454612761332,198.776407298801,67.1751319746152,
2013-08-30,FALSE,6,19.7875,8,5,Friday,FALSE,133.150828452892,492.141265198519,343.345686609289,184.252334847289,77.9353068130843,
2013-08-31,FALSE,5,18.35,16,21,Saturday,FALSE,130.821314898435,581.490537751984,344.096618940689,265.410807550213,86.0077280021026,
2013-09-01,FALSE,7,15.8625,16,61,Sunday,FALSE,95.9704314892471,481.584829613001,400.375251601544,239.545084070735,139.776992842103,
