Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wochentag,FerienSH,Monat
2013-07-01,Brot,148.828353112183,FALSE,6,17.8375,15,20,Monday,TRUE,7
2013-07-03,Brot,111.885593514353,FALSE,7,21.075,6,61,Wednesday,TRUE,7
2013-07-04,Brot,168.864940979931,FALSE,7,18.85,7,20,Thursday,TRUE,7
2013-07-08,Brot,135.500244042392,FALSE,0,22.725,10,5,Monday,TRUE,7
2013-07-10,Brot,135.132314289581,FALSE,2,19.6875,13,5,Wednesday,TRUE,7
2013-07-11,Brot,138.549392636714,FALSE,0,21.375,12,5,Thursday,TRUE,7
2013-07-14,Brot,112.524365708762,FALSE,5,17.6875,15,5,Sunday,TRUE,7
2013-07-18,Brot,101.90072129658,FALSE,1,23.25,11,5,Thursday,TRUE,7
2013-07-19,Brot,161.63511518654,FALSE,3,22.475,16,5,Friday,TRUE,7
2013-07-28,Brot,86.0791432446654,FALSE,4,24.8875,13,61,Sunday,TRUE,7
2013-07-30,Brot,132.111640117897,FALSE,5,21.075,13,21,Tuesday,TRUE,7
2013-07-31,Brot,144.745431773143,FALSE,5,20.275,16,65,Wednesday,TRUE,7
2013-08-01,Brot,157.854023011106,FALSE,6,23.4,7,21,Thursday,TRUE,8
2013-08-03,Brot,186.027178770079,FALSE,4,23.3625,11,63,Saturday,TRUE,8
2013-08-08,Brot,153.099424561652,FALSE,7,16.975,12,20,Thursday,FALSE,8
2013-08-09,Brot,125.620344387906,FALSE,4,20.3375,10,21,Friday,FALSE,8
2013-08-10,Brot,185.177162656408,FALSE,7,19.3625,12,61,Saturday,FALSE,8
2013-08-11,Brot,73.2088330039992,FALSE,7,16.3875,9,61,Sunday,FALSE,8
2013-08-12,Brot,154.504729536697,FALSE,7,16.45,11,63,Monday,FALSE,8
2013-08-13,Brot,134.064451548102,FALSE,3,16.4,16,95,Tuesday,FALSE,8
2013-08-14,Brot,156.972510536869,FALSE,4,18.2625,18,61,Wednesday,FALSE,8
2013-08-16,Brot,147.79799759804,FALSE,4,23.575,11,0,Friday,FALSE,8
2013-08-17,Brot,221.630418006017,FALSE,6,20.55,7,0,Saturday,FALSE,8
2013-08-18,Brot,92.489778506026,FALSE,7,18.5875,10,63,Sunday,FALSE,8
2013-08-20,Brot,111.842396126739,FALSE,7,17.775,8,61,Tuesday,FALSE,8
2013-08-24,Brot,201.543109556297,FALSE,0,20.85,16,5,Saturday,FALSE,8
2013-08-25,Brot,83.0226725739551,FALSE,0,21.3875,16,5,Sunday,FALSE,8
2013-08-26,Brot,165.829031676714,FALSE,0,20.125,15,5,Monday,FALSE,8
2013-08-30,Brot,133.150828452892,FALSE,6,19.7875,8,5,Friday,FALSE,8
2013-08-31,Brot,130.821314898435,FALSE,5,18.35,16,21,Saturday,FALSE,8
2013-09-01,Brot,95.9704314892471,FALSE,7,15.8625,16,61,Sunday,FALSE,9
2013-09-02,Brot,138.408723210465,FALSE,7,16.575,17,63,Monday,FALSE,9
2013-09-03,Brot,138.825618927843,FALSE,7,18.225,11,21,Tuesday,FALSE,9
